DATUM,TOTALE_OMZET,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_wintervakantie,is_springvakantie,is_summervakantie,is_thanksgivingvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag
2017-11-12,22585.62,6,11,45,2017,4,316,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407952,1,0,0,0,0,0,0,0,0,0
2017-11-13,76185.97,0,11,46,2017,4,317,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,0,1,0,0,0,0,0,0,0,0
2017-11-14,17621.46,1,11,46,2017,4,318,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,0,0,0,0,0,0,0,0,0,0
2017-11-15,12194.17,2,11,46,2017,4,319,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,0,0,0,0,0,0,0,0,0,0
2017-11-16,35867.39,3,11,46,2017,4,320,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,0,0,0,0,0,0,0,0,0,0
2017-11-17,40092.259999999995,4,11,46,2017,4,321,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,0,0,1,0,0,0,0,0,0,0
2017-11-18,84817.07,5,11,46,2017,4,322,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,1,0,0,0,0,0,0,0,0,0
2017-11-19,10256.23,6,11,46,2017,4,323,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,1,0,0,0,0,0,0,0,0,0
2017-11-20,56490.06999999999,0,11,47,2017,4,324,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,1,0,0,0,0,0,0,0,0
2017-11-21,59813.899999999994,1,11,47,2017,4,325,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,0,0,0,0,0
2017-11-22,1710.13,2,11,47,2017,4,326,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,0,1,1,0,0
2017-11-23,6294.160000000001,3,11,47,2017,4,327,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,0,1,1,1,0
2017-11-24,36609.7,4,11,47,2017,4,328,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,0,1,0,0,0,1,1,0,1
2017-11-25,17871.61,5,11,47,2017,4,329,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,1,0,0,0,0,0,1,1,0,0
2017-11-26,12672.41,6,11,47,2017,4,330,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,1,0,0,0,0,0,1,1,0,0
2017-11-27,44547.54,0,11,48,2017,4,331,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,1,0,0,0,0,0,0,0,0
2017-11-28,21728.02,1,11,48,2017,4,332,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,0,0,0,0,0,0,0,0,0
2017-11-29,14729.45,2,11,48,2017,4,333,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,0,0,0,0,0,0,0,0,0
2017-11-30,38351.93,3,11,48,2017,4,334,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,0,0,0,0,0,0,0,0,0
2017-12-01,122902.76000000001,4,12,48,2017,4,335,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,0,1,0,0,0,0,0,0,0
2017-12-02,19443.629999999997,5,12,48,2017,4,336,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,1,0,0,0,0,0,0,0,0,0
2017-12-03,6071.19,6,12,48,2017,4,337,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,1,0,0,0,0,0,0,0,0,0
2017-12-04,135043.53,0,12,49,2017,4,338,0.0,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,1,0,0,0,0,0,0,0,0
2017-12-05,15378.019999999999,1,12,49,2017,4,339,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,0,0,0,0,0
2017-12-06,21209.32,2,12,49,2017,4,340,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,0,0,0,0,0
2017-12-07,18170.07,3,12,49,2017,4,341,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,0,0,0,0,0
2017-12-08,154683.75,4,12,49,2017,4,342,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,1,0,0,0,0,0,0,0
2017-12-09,45921.29,5,12,49,2017,4,343,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,1,0,0,0,0,0,0,0,0,0
2017-12-10,60077.59000000001,6,12,49,2017,4,344,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,1,0,0,0,0,0,0,0,0,0
2017-12-11,44931.98,0,12,50,2017,4,345,0.0,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,1,0,0,0,0,0,0,0,0
2017-12-12,36012.380000000005,1,12,50,2017,4,346,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2017-12-13,10671.4,2,12,50,2017,4,347,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2017-12-14,25902.6,3,12,50,2017,4,348,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2017-12-15,31160.600000000002,4,12,50,2017,4,349,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,1,0,0,0,0,0,0,0
2017-12-16,77300.19,5,12,50,2017,4,350,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,1,0,0,0,0,0,0,0,0,0
2017-12-17,26288.59,6,12,50,2017,4,351,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,1,0,0,0,0,0,0,0,0,0
2017-12-18,29309.96,0,12,51,2017,4,352,0.0,1.0,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,1,0,0,0,0,0,0,0,0
2017-12-19,50309.39,1,12,51,2017,4,353,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,0,0,0,0,0,0,0,0,0
2017-12-20,25134.03,2,12,51,2017,4,354,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,0,0,0,0,0,0,0,0,0
2017-12-21,9173.74,3,12,51,2017,4,355,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,0,0,0,0,0,0,0,0,0
2017-12-22,57575.78999999999,4,12,51,2017,4,356,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,0,1,1,0,0,0,1,0,0
2017-12-23,33834.49,5,12,51,2017,4,357,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,1,0,0,1,0,0,0,1,0,0
2017-12-24,24058.06,6,12,51,2017,4,358,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,1,0,0,1,0,0,0,1,0,0
2017-12-25,60439.44,0,12,52,2017,4,359,0.0,1.0,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,0,1,0,1,0,0,0,1,1,0
