rapportagedatum,totale_omzet,lag_1d,lag_7d,lag_14d,lag_28d,rolling_mean_7d,rolling_mean_28d,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_voorjaarvakantie,is_meivakantie,is_zomervakantie,is_herfstvakantie,is_kerstvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag,cumulative_revenue_ytd,contractual_consumption_rate,time_index
2023-01-14,129890.37,424978.57,127617.49,120663.95,119346.35,392698.52428571426,335240.3185714286,5,1,2,2023,1,14,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,1,0,0,0,0,0,0,0,0,0,0,5098317.2,0.035353087217144356,378
2023-01-15,129295.35,129890.37,128694.47,123840.05,124403.77,393023.2214285714,335616.8907142857,6,1,2,2023,1,15,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,1,0,0,0,0,0,0,0,0,0,0,5227612.55,0.036249655556462514,379
2023-01-16,494763.96,129295.35,505305.16,355038.84,485154.67,393109.06142857147,335791.59,0,1,3,2023,1,16,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0,1,0,0,0,0,0,0,0,0,0,5722376.51,0.039680480423495056,380
2023-01-17,551814.68,494763.96,566135.63,460709.02,543012.31,391603.1757142857,336134.77892857144,1,1,3,2023,1,17,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0,0,0,0,0,0,0,0,0,0,0,6274191.19,0.043506910154022735,381
2023-01-18,475800.05,551814.68,455763.18,398899.48,435581.58,389557.3257142858,336449.14928571426,2,1,3,2023,1,18,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0,0,0,0,0,0,0,0,0,0,0,6749991.24,0.04680623422620319,382
2023-01-19,561705.72,475800.05,540395.17,495006.8,486061.47,392419.7357142857,337885.5232142857,3,1,3,2023,1,19,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0,0,0,0,0,0,0,0,0,0,0,7311696.96,0.05070125105833142,383
2023-01-20,397423.74,561705.72,424978.57,386042.97,379923.9,395464.10000000003,340587.1035714285,4,1,3,2023,1,20,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0,0,1,0,0,0,0,0,0,0,0,7709120.7,0.05345709295502307,384
2023-01-21,127025.5,397423.74,129890.37,127617.49,119096.34,391527.6957142857,341212.0978571428,5,1,3,2023,1,21,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,0,0,0,0,0,0,0,0,0,0,7836146.2,0.05433792155083923,385
2023-01-22,127738.02,127025.5,129295.35,128694.47,119434.29,391118.4285714286,341495.2821428571,6,1,3,2023,1,22,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,0,0,0,0,0,0,0,0,0,0,7963884.22,0.055223690949809806,386
2023-01-23,486277.77,127738.02,494763.96,505305.16,119560.32,390895.95285714284,341791.84392857144,0,1,4,2023,1,23,0.0,1.0,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0,1,0,0,0,0,0,0,0,0,0,8450161.99,0.05859567031872166,387
2023-01-24,553670.05,486277.77,551814.68,566135.63,334129.67,389683.64,354888.8957142857,1,1,4,2023,1,24,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0,0,0,0,0,0,0,0,0,0,0,9003832.04,0.06243496567821217,388
2023-01-25,455051.73,553670.05,475800.05,455763.18,348619.04,389948.6928571428,362729.6235714286,2,1,4,2023,1,25,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0,0,0,0,0,0,0,0,0,0,0,9458883.77,0.06559041538208749,389
